"User_ID","Age","Gender","Occupation","Device_Type","Daily_Phone_Hours","Social_Media_Hours","Work_Productivity_Score","Sleep_Hours","Stress_Level","App_Usage_Count","Caffeine_Intake_Cups","Weekend_Screen_Time_Hours"
"U40002",34,"Female","Professional","Android",11.3,1,7,6.5,8,51,3,11.9
"U40003",46,"Male","Professional","Android",2.9,6.4,5,6.1,4,57,0,8.1
"U40004",35,"Other","Business Owner","iOS",8.5,7.7,7,7.2,1,30,2,11.4
"U40005",47,"Male","Professional","iOS",1.2,5.1,1,5.3,3,48,6,3
"U40006",45,"Male","Freelancer","Android",5.7,4.4,7,4.6,10,30,4,3.6
"U40007",55,"Other","Freelancer","iOS",5.1,1,5,6.3,10,56,1,3.6
"U40008",25,"Other","Student","iOS",2.6,1,5,6.7,9,16,6,7.3
"U40009",60,"Male","Business Owner","Android",4,2.2,5,6.4,5,53,2,13.7
"U40010",23,"Other","Business Owner","iOS",3.4,1.8,2,8.8,10,7,4,10.8
"U40011",45,"Female","Business Owner","iOS",9.4,6.9,10,6.5,6,14,6,8.4
"U40012",23,"Female","Professional","iOS",9.7,5.6,3,4.2,4,45,5,5.7
"U40013",29,"Male","Business Owner","Android",1.8,2.8,5,8.1,5,44,4,10.7
"U40014",29,"Female","Student","iOS",2.1,6.9,9,6.1,3,33,2,6.2
"U40015",25,"Other","Student","iOS",11.3,5.6,7,6.8,1,56,2,8.4
"U40016",39,"Male","Student","Android",1.2,7.4,6,7.9,7,52,3,4.5
"U40017",20,"Other","Student","Android",9.9,7.9,9,6.1,8,56,1,8.3
"U40018",33,"Male","Business Owner","iOS",11.4,5.1,3,4.1,6,42,4,8.3
"U40019",54,"Other","Student","iOS",10.6,5.3,2,4.3,3,44,3,5.5
"U40020",43,"Other","Professional","Android",3.1,7.5,2,5,7,10,3,2.8
"U40021",38,"Other","Freelancer","iOS",2.9,6.8,2,7.4,4,50,6,7.1
"U40022",40,"Other","Student","iOS",2.5,4.4,2,6.8,3,16,6,5.6
"U40023",53,"Male","Business Owner","Android",9.2,7.3,3,7.9,4,44,5,2.2
"U40024",44,"Other","Business Owner","iOS",4.4,5.7,4,8.3,2,14,3,2.5
"U40025",50,"Female","Student","Android",1.8,7.6,7,6.3,7,20,6,2.4
"U40026",22,"Other","Business Owner","iOS",3.8,3.6,6,7.7,3,10,5,3
"U40027",58,"Other","Professional","Android",6.9,6.8,2,4.7,10,16,3,10.6
"U40028",54,"Female","Business Owner","Android",8.4,1.9,2,6,5,48,5,13.6
"U40029",58,"Male","Freelancer","iOS",11,5.5,3,5.7,8,27,1,3
"U40030",20,"Male","Business Owner","Android",5.3,3.3,5,7.8,8,54,3,9.6
"U40031",20,"Female","Freelancer","Android",6.2,4.6,1,8.1,3,33,2,12.8
"U40032",37,"Male","Freelancer","iOS",3.1,3.5,1,6.9,6,12,3,2
"U40033",25,"Male","Professional","iOS",4.1,2.7,6,6.2,9,41,0,13.6
"U40034",38,"Female","Student","iOS",11.5,1.2,8,4.1,6,60,4,8.6
"U40035",51,"Other","Freelancer","Android",1.3,6.5,9,7.4,1,51,4,6.4
"U40036",56,"Male","Freelancer","Android",5.4,0.9,5,6.1,7,48,5,13.6
"U40037",32,"Other","Professional","iOS",9.5,5.2,6,8.2,4,41,2,12.7
"U40038",31,"Female","Business Owner","Android",11.2,4.6,1,4.9,6,51,5,12
"U40039",31,"Other","Freelancer","iOS",7.5,4.5,7,7.6,10,17,6,7.7
"U40040",41,"Female","Student","iOS",7.5,6.9,6,6.7,1,33,0,5.7
"U40041",26,"Female","Freelancer","Android",4.3,5,3,8.9,5,54,5,12.8
"U40042",52,"Female","Student","iOS",3,5.7,10,8.1,6,58,3,12.2
"U40043",44,"Male","Freelancer","Android",9.4,1.9,9,8.4,1,45,0,6.5
"U40044",60,"Male","Professional","Android",7.5,2.8,4,7.9,7,34,0,12
"U40045",43,"Male","Freelancer","iOS",1.2,1,9,4.2,1,25,1,9.9
"U40046",18,"Female","Business Owner","iOS",1.1,3.5,6,8,4,51,0,12.1
"U40047",24,"Female","Professional","Android",3.5,0.7,9,6.5,5,37,1,8.8
"U40048",32,"Other","Student","iOS",9.1,0.8,5,6.6,7,56,2,13.6
"U40049",50,"Male","Student","iOS",6.8,3.5,3,4.6,9,41,0,8.5
"U40050",38,"Other","Professional","Android",6.7,7.7,1,4.9,6,8,0,3.8
"U40051",38,"Male","Freelancer","iOS",4.5,3,8,6.5,1,56,3,7
"U40052",18,"Other","Freelancer","iOS",5.7,1.8,9,5.6,4,40,2,5.7
"U40053",19,"Male","Professional","Android",3.4,1.1,5,7.1,8,16,1,9.7
"U40054",28,"Male","Business Owner","iOS",2.6,4.7,6,5.2,5,19,2,9.7
"U40055",55,"Male","Student","iOS",7.7,5.8,2,5,5,13,4,8.1
"U40056",39,"Other","Business Owner","Android",2.4,4.6,5,6.4,9,53,3,2.1
"U40057",48,"Female","Freelancer","Android",6.5,7.2,8,8.6,6,15,6,9.3
"U40058",30,"Female","Freelancer","Android",5.2,6.5,6,4.2,10,60,2,6.9
"U40059",51,"Other","Professional","Android",7.9,3.9,5,6,3,55,1,3.5
"U40060",18,"Male","Professional","Android",3.7,2.9,6,6,10,35,4,12.9
"U40061",24,"Male","Business Owner","Android",4.8,4,10,7,6,22,2,2.7
"U40062",19,"Male","Business Owner","iOS",10,4.4,10,7.7,8,31,5,8.1
"U40063",22,"Female","Student","iOS",1.7,0.7,10,7.2,10,27,5,2.1
"U40064",29,"Male","Professional","Android",11.1,2.4,9,7.3,7,33,3,12
